pclass,survived,name,sex,fare
1,1,"Allen, Miss. Elisabeth Walton",female,211.3375
1,1,"Allison, Master. Hudson Trevor",male,151.55
1,0,"Allison, Miss. Helen Loraine",female,151.55
1,0,"Allison, Mr. Hudson Joshua Creighton",male,151.55
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,151.55
1,1,"Anderson, Mr. Harry",male,26.55
1,1,"Andrews, Miss. Kornelia Theodosia",female,77.9583
1,0,"Andrews, Mr. Thomas Jr",male,0.0
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,51.4792
1,0,"Artagaveytia, Mr. Ramon",male,49.5042
1,0,"Astor, Col. John Jacob",male,227.525
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,227.525
1,1,"Aubart, Mme. Leontine Pauline",female,69.3
1,1,"Barber, Miss. Ellen ""Nellie""",female,78.85
1,1,"Barkworth, Mr. Algernon Henry Wilson",male,30.0
1,0,"Baumann, Mr. John D",male,25.925
1,0,"Baxter, Mr. Quigg Edmond",male,247.5208
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,247.5208
1,1,"Bazzani, Miss. Albina",female,76.2917
1,0,"Beattie, Mr. Thomson",male,75.2417
1,1,"Beckwith, Mr. Richard Leonard",male,52.5542
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,52.5542
1,1,"Behr, Mr. Karl Howell",male,30.0
1,1,"Bidois, Miss. Rosalie",female,227.525
1,1,"Bird, Miss. Ellen",female,221.7792
1,0,"Birnbaum, Mr. Jakob",male,26.0
1,1,"Bishop, Mr. Dickinson H",male,91.0792
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,91.0792
1,1,"Bissette, Miss. Amelia",female,135.6333
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,26.55
1,0,"Blackwell, Mr. Stephen Weart",male,35.5
1,1,"Blank, Mr. Henry",male,31.0
1,1,"Bonnell, Miss. Caroline",female,164.8667
1,1,"Bonnell, Miss. Elizabeth",female,26.55
1,0,"Borebank, Mr. John James",male,26.55
1,1,"Bowen, Miss. Grace Scott",female,262.375
1,1,"Bowerman, Miss. Elsie Edith",female,55.0
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,26.55
1,0,"Brady, Mr. John Bertram",male,30.5
1,0,"Brandeis, Mr. Emil",male,50.4958
1,0,"Brewe, Dr. Arthur Jackson",male,39.6
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,27.7208
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,51.4792
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,76.2917
1,1,"Burns, Miss. Elizabeth Margaret",female,134.5
1,0,"Butt, Major. Archibald Willingham",male,26.55
1,0,"Cairns, Mr. Alexander",male,31.0
1,1,"Calderhead, Mr. Edward Pennington",male,26.2875
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,27.4458
1,1,"Cardeza, Mr. Thomas Drake Martinez",male,512.3292
1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,512.3292
1,0,"Carlsson, Mr. Frans Olof",male,5.0
1,0,"Carrau, Mr. Francisco M",male,47.1
1,0,"Carrau, Mr. Jose Pedro",male,47.1
1,1,"Carter, Master. William Thornton II",male,120.0
1,1,"Carter, Miss. Lucile Polk",female,120.0
1,1,"Carter, Mr. William Ernest",male,120.0
1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,120.0
1,0,"Case, Mr. Howard Brown",male,26.0
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,27.7208
1,0,"Cavendish, Mr. Tyrell William",male,78.85
1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,78.85
1,0,"Chaffee, Mr. Herbert Fuller",male,61.175
1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,61.175
1,1,"Chambers, Mr. Norman Campbell",male,53.1
1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,53.1
1,1,"Chaudanson, Miss. Victorine",female,262.375
1,1,"Cherry, Miss. Gladys",female,86.5
1,1,"Chevre, Mr. Paul Romaine",male,29.7
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,55.0
1,0,"Chisholm, Mr. Roderick Robert Crispin",male,0.0
1,0,"Clark, Mr. Walter Miller",male,136.7792
1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,136.7792
1,1,"Cleaver, Miss. Alice",female,151.55
1,0,"Clifford, Mr. George Quincy",male,52.0
1,0,"Colley, Mr. Edward Pomeroy",male,25.5875
1,1,"Compton, Miss. Sara Rebecca",female,83.1583
1,0,"Compton, Mr. Alexander Taylor Jr",male,83.1583
1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,83.1583
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,25.7
1,0,"Crafton, Mr. John Bertram",male,26.55
1,0,"Crosby, Capt. Edward Gifford",male,71.0
1,1,"Crosby, Miss. Harriet R",female,71.0
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,26.55
1,0,"Cumings, Mr. John Bradley",male,71.2833
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,71.2833
1,1,"Daly, Mr. Peter Denis ",male,26.55
1,1,"Daniel, Mr. Robert Williams",male,30.5
1,1,"Daniels, Miss. Sarah",female,151.55
1,0,"Davidson, Mr. Thornton",male,52.0
1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,52.0
1,1,"Dick, Mr. Albert Adrian",male,57.0
1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,57.0
1,1,"Dodge, Dr. Washington",male,81.8583
1,1,"Dodge, Master. Washington",male,81.8583
1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,81.8583
1,0,"Douglas, Mr. Walter Donald",male,106.425
1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,247.5208
1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,106.425
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,39.6
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,56.9292
1,0,"Dulles, Mr. William Crothers",male,29.7
1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,83.1583
1,1,"Endres, Miss. Caroline Louise",female,227.525
1,1,"Eustis, Miss. Elizabeth Mussey",female,78.2667
1,0,"Evans, Miss. Edith Corse",female,31.6792
1,0,"Farthing, Mr. John",male,221.7792
1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,31.6833
1,1,"Fleming, Miss. Margaret",female,110.8833
1,1,"Flynn, Mr. John Irwin (""Irving"")",male,26.3875
1,0,"Foreman, Mr. Benjamin Laventall",male,27.75
1,1,"Fortune, Miss. Alice Elizabeth",female,263.0
1,1,"Fortune, Miss. Ethel Flora",female,263.0
1,1,"Fortune, Miss. Mabel Helen",female,263.0
1,0,"Fortune, Mr. Charles Alexander",male,263.0
1,0,"Fortune, Mr. Mark",male,263.0
1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,263.0
1,1,"Francatelli, Miss. Laura Mabel",female,56.9292
1,0,"Franklin, Mr. Thomas Parham",male,26.55
1,1,"Frauenthal, Dr. Henry William",male,133.65
1,1,"Frauenthal, Mr. Isaac Gerald",male,27.7208
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,133.65
1,1,"Frolicher, Miss. Hedwig Margaritha",female,49.5
1,1,"Frolicher-Stehli, Mr. Maxmillian",male,79.2
1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,79.2
1,0,"Fry, Mr. Richard",male,0.0
1,0,"Futrelle, Mr. Jacques Heath",male,53.1
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,53.1
1,0,"Gee, Mr. Arthur H",male,38.5
1,1,"Geiger, Miss. Amalie",female,211.5
1,1,"Gibson, Miss. Dorothy Winifred",female,59.4
1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,59.4
1,0,"Giglio, Mr. Victor",male,79.2
1,1,"Goldenberg, Mr. Samuel L",male,89.1042
1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,89.1042
1,0,"Goldschmidt, Mr. George B",male,34.6542
1,1,"Gracie, Col. Archibald IV",male,28.5
1,1,"Graham, Miss. Margaret Edith",female,30.0
1,0,"Graham, Mr. George Edward",male,153.4625
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,153.4625
1,1,"Greenfield, Mr. William Bertram",male,63.3583
1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,63.3583
1,0,"Guggenheim, Mr. Benjamin",male,79.2
1,1,"Harder, Mr. George Achilles",male,55.4417
1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,55.4417
1,1,"Harper, Mr. Henry Sleeper",male,76.7292
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,76.7292
1,0,"Harrington, Mr. Charles H",male,42.4
1,0,"Harris, Mr. Henry Birkhardt",male,83.475
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,83.475
1,0,"Harrison, Mr. William",male,0.0
1,1,"Hassab, Mr. Hammad",male,76.7292
1,1,"Hawksford, Mr. Walter James",male,30.0
1,1,"Hays, Miss. Margaret Bechstein",female,83.1583
1,0,"Hays, Mr. Charles Melville",male,93.5
1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,93.5
1,0,"Head, Mr. Christopher",male,42.5
1,0,"Hilliard, Mr. Herbert Henry",male,51.8625
1,0,"Hipkins, Mr. William Edward",male,50.0
1,1,"Hippach, Miss. Jean Gertrude",female,57.9792
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,57.9792
1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,77.9583
1,0,"Holverson, Mr. Alexander Oskar",male,52.0
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,52.0
1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,26.55
1,1,"Hoyt, Mr. Frederick Maxfield",male,90.0
1,0,"Hoyt, Mr. William Fisher",male,30.6958
